model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.55,1.0012524974513366
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.6,1.0334380861949553
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.65,1.085601606920178
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.7,1.1563465669748512
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.75,1.3076164620258675
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.8,1.4142541428994222
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.85,1.4864093903049542
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.9,1.6910905234653741
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.95,1.848875642095332
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.975,2.0377021501352046
nfidd-diff,HHS Region 1,2016-03-12,2,2016-03-26,ili perc,quantile,0.99,2.223754585472401
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.01,0.33895407637810804
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.025,0.44341625052371214
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.05,0.5175729825303291
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.1,0.5992296271790786
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.15,0.6983454037071777
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.2,0.7115308492261114
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.25,0.7734686940197245
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.3,0.8036930494350583
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.35,0.8429102301001165
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.4,0.8938480857747714
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.45,0.9168182002104164
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.5,0.9630211374330613
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.55,1.0012524974842707
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.6,1.033438086194066
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.65,1.0856016069262675
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.7,1.156346566950333
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.75,1.3076164620041917
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.8,1.4142541428841942
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.85,1.4864093902476352
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.9,1.691090523441905
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.95,1.848875642136341
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.975,2.0377021501871724
nfidd-diff,HHS Region 1,2016-03-12,3,2016-04-02,ili perc,quantile,0.99,2.223754585449019
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.01,0.33895407642341835
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.025,0.443416250529374
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.05,0.5175729825017963
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.1,0.5992296270253855
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.15,0.6983454036282188
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.2,0.7115308492082251
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.25,0.7734686940250148
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.3,0.803693049457492
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.35,0.842910230053917
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.4,0.8938480859179341
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.45,0.9168182001683934
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.5,0.9630211374214348
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.55,1.0012524974277766
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.6,1.0334380860738412
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.65,1.0856016069407488
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.7,1.1563465669659632
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.75,1.3076164619090076
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.8,1.4142541429337805
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.85,1.4864093903710427
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.9,1.6910905233718978
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.95,1.8488756420690629
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.975,2.0377021502508756
nfidd-diff,HHS Region 1,2016-03-12,4,2016-04-09,ili perc,quantile,0.99,2.2237545856291225
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.01,0.33895407644484743
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.025,0.44341625080929625
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.05,0.5175729826488028
